"Year","All Categories - Classes I-V - Boys","All Categories - Classes I-V - Girls","All Categories - Classes I-V - Total","All Categories - Classes I-VIII - Boys","All Categories - Classes I-VIII - Girls","All Categories - Classes I-VIII - Total","All Categories - Classes I-X - Boys","All Categories - Classes I-X - Girls","All Categories - Classes I-X - Total","Scheduled Caste - Classes I-V - Boys","Scheduled Caste - Classes I-V - Girls","Scheduled Caste - Classes I-V - Total","Scheduled Caste - Classes I-VIII - Boys","Scheduled Caste - Classes I-VIII - Girls","Scheduled Caste - Classes I-VIII - Total","Scheduled Caste - Classes I-X - Boys","Scheduled Caste - Classes I-X - Girls","Scheduled Caste - Classes I-X - Total","Scheduled Tribe - Classes I-V - Boys","Scheduled Tribe - Classes I-V - Girls","Scheduled Tribe - Classes I-V - Total","Scheduled Tribe - Classes I-VIII - Boys","Scheduled Tribe - Classes I-VIII - Girls","Scheduled Tribe - Classes I-VIII - Total","Scheduled Tribe - Classes I-X - Boys","Scheduled Tribe - Classes I-X - Girls","Scheduled Tribe - Classes I-X - Total"
"1960-61",61.7,70.9,64.9,75,85,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970-71",64.5,70.9,67,74.6,83.4,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-81",56.2,62.5,58.7,68,79.4,72.7,79.8,86.6,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-91",40.1,46,42.6,59.1,65.1,60.9,67.5,76.9,71.3,46.3,54,49.4,64.3,73.2,67.8,74.3,83.4,77.7,60.3,66.1,62.5,75.7,82.2,78.6,83.3,87.7,85
"1992-93",43.8,46.7,45,58.2,65.2,61.1,70,77.3,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995-96",41.4,43,42.1,56.6,61.7,58.8,66.7,73.7,69.6,43.7,48.5,45.7,64.7,70.5,67,NA,NA,NA,55,58.9,56.6,62.3,71.2,66,NA,NA,NA
"1996-97",39.7,40.9,40.2,54.3,59.5,56.5,67.3,73.7,70,41,45.2,42.7,61.9,68.3,64.5,75.5,81,77.6,54.4,60,56.5,73,78.3,75.2,82.5,86.8,84.2
"1997-98",37.5,41.5,39.2,53.8,59.3,56.1,66.6,73,69.3,43.4,46.4,44.7,60.6,67.2,63.3,68.1,77.7,77.2,52.9,58.1,55.1,71.3,75.5,73,72.5,80.4,75.8
"1998-99",40.9,42.3,41.5,54.2,59.2,56.3,64.5,69.8,66.7,40.5,42.8,41.4,59.9,65.4,62.2,72.7,78.2,74.9,54.8,56.8,55.7,70.1,75.7,72.4,79.8,85.1,82.2
"1999-00",39.8,41,40.3,53.3,57.7,55.1,64.9,69.9,67,42.9,44.9,43.8,60.5,65,62.3,72.2,77,73.4,51,54.2,52.4,69.5,75.3,71.9,79.7,84.3,81.5
"2000-01",39.7,41.9,40.7,50.3,57.7,53.7,66.4,71.5,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-02",38.4,39.9,39,52.9,56.9,54.6,64.2,68.6,66,43.7,47.1,45.2,58.6,63.6,60.7,71.1,74.9,72.7,51,54.1,52.3,67.3,72.7,69.5,79.9,82.9,81.2
