State/UT,Primary,Upper Primary,Secondary
Andaman & Nicobar Islands,0.51,0,15.71
Andhra Pradesh,0,0.27,14.77
Arunachal Pradesh,6.22,7.46,34.26
Assam,4.31,3.44,32.25
Bihar,2.28,8.93,21.36
Chandigarh,0,0.29,4.71
Chhattisgarh,1.02,3.84,18.25
Dadra & Nagar Haveli,0,1.14,20.25
Daman & Diu,0,0,20.02
Delhi,0,0.09,13.81
Goa,0.27,0,10.17
Gujarat,0.96,5.21,23.71
Haryana,0,1.84,13.31
Himachal Pradesh,0.86,0.55,7.21
Jammu & Kashmir,3.91,3.2,16.68
Jharkhand,6.34,8.45,16.62
Karnataka,1.18,2.47,16.84
Kerala,0,0,7.93
Ladakh,0,0,0
Lakshadweep,0,0,6.69
Madhya Pradesh,0.78,4.08,23.19
Maharashtra,0.02,1.1,15.17
Manipur,8.77,3.99,9.24
Meghalaya,7.02,7.99,22.24
Mizoram,7.8,2.54,20.35
Nagaland,4.22,5.4,21.23
Odisha,0.82,4.49,23.59
Puducherry,0,0,7.93
Punjab,0,0,1.63
Rajasthan,2.85,1.53,12.33
Sikkim,0,0,23.21
Tamil Nadu,1.12,0.38,9.55
Telangana,0,0.06,12.29
Tripura,2,3.52,26.71
Uttar Pradesh,2.65,2.05,14.41
Uttarakhand,2.47,2.26,8.41
West Bengal,0.63,0,13.83
National,1.45,2.58,16.07
